kpi_id,annee,texte_contexte,source_interne
E1-SC1-EMISSIONS,2025,"La baisse des émissions Scope 1 s'explique principalement par le remplacement de 40% de la flotte de véhicules utilitaires par des modèles électriques sur le site de Lyon. Un plan de décarbonation complémentaire ciblant les procédés de chauffe industrielle est prévu pour 2026 sur le site allemand.",Rapport RSE interne 2025
E1-SC2-EMISSIONS,2025,"La réduction du Scope 2 résulte de la montée en puissance des contrats d'achat d'électricité verte sur les deux principaux sites de production. L'objectif reste d'atteindre 100% d'électricité renouvelable pour les sites européens d'ici 2027.",Note direction industrielle 2025
E1-SC3-EMISSIONS,2025,"Les émissions Scope 3 restent la composante la plus importante du bilan carbone, portées par les achats de matières premières et le transport amont. Un audit fournisseurs a été lancé en 2025 pour identifier les postes de réduction prioritaires sur la chaîne d'approvisionnement.",Rapport RSE interne 2025
E1-ENERGY-CONSO,2025,"La baisse de la consommation énergétique totale reflète les investissements réalisés dans l'isolation des bâtiments industriels et le remplacement progressif des équipements de production par des modèles à plus haute efficacité énergétique.",Rapport RSE interne 2025
E1-ENERGY-RENOUV,2025,"La part d'énergie renouvelable a fortement progressé grâce à l'installation de panneaux photovoltaïques sur le site de Lyon et à la signature de nouveaux contrats d'approvisionnement en électricité d'origine renouvelable.",Note direction industrielle 2025
S1-HEADCOUNT,2025,"La croissance de l'effectif accompagne le développement de la nouvelle ligne de production lancée en 2024. Le recrutement s'est concentré sur les fonctions techniques et de maintenance industrielle.",Rapport RH 2025
S1-WOMEN-PCT,2025,"La part de femmes dans l'effectif continue de progresser, portée par des partenariats renforcés avec des écoles d'ingénieurs et une politique de recrutement plus inclusive sur les postes techniques historiquement peu mixtes.",Rapport RH 2025
S1-WOMEN-MANAGEMENT,2025,"La progression de la mixité en management s'appuie sur un programme de mentorat interne lancé en 2023 et sur des objectifs de mixité intégrés aux plans de succession des postes d'encadrement.",Rapport RH 2025
S1-TRAINING-HOURS,2025,"L'augmentation des heures de formation reflète le déploiement d'un nouveau parcours de montée en compétences sur les métiers techniques, ainsi qu'un renforcement des formations sécurité obligatoires sur les sites de production.",Rapport RH 2025
S1-ACCIDENT-FREQ,2025,"La baisse continue du taux de fréquence des accidents du travail résulte du plan de sécurité renforcé déployé depuis 2023, incluant des audits sécurité mensuels et la généralisation des équipements de protection individuelle nouvelle génération.",Rapport HSE 2025
S1-ACCIDENT-SEVERITY,2025,"L'amélioration du taux de gravité accompagne celle du taux de fréquence, avec une attention particulière portée à la prévention des troubles musculo-squelettiques sur les postes de production répétitifs.",Rapport HSE 2025
G1-BOARD-INDEP,2025,"Le renforcement de la part d'administrateurs indépendants s'inscrit dans la démarche de gouvernance engagée depuis 2023, visant à aligner la composition du conseil sur les meilleures pratiques du secteur.",Rapport gouvernance 2025
G1-BOARD-WOMEN,2025,"La progression de la mixité au sein du board fait suite à deux nominations d'administratrices indépendantes en 2024 et 2025, dans le cadre de la politique de diversité du conseil d'administration.",Rapport gouvernance 2025
G1-CORRUPTION-INCIDENTS,2025,"Aucun incident de corruption n'a été signalé sur l'exercice, conformément aux exercices précédents. Le dispositif d'alerte interne (whistleblowing) mis en place en 2022 n'a fait remonter aucun signalement relevant de ce périmètre.",Rapport conformité 2025
G1-ANTICORRUPTION-TRAINING,2025,"La quasi-totalité des salariés a désormais suivi la formation anti-corruption obligatoire, grâce au déploiement d'un module e-learning généralisé en 2024 et à son intégration au parcours d'intégration des nouveaux salariés.",Rapport conformité 2025
